TrainedNoiselLevel,TestNoiseLevel,MSE,VAR
0.05,0.05,0.0011002350482158362,4.380523896216003e-11
0.05,0.08,0.003135439264588058,4.93184242939302e-10
0.05,0.1,0.006668422115035355,7.021119624883471e-09
0.05,0.15,0.02993146264925599,2.3206491598509738e-07
0.08,0.05,0.0014957110106479377,2.308608389481689e-10
0.08,0.08,0.002123395632952452,4.937405771640027e-10
0.08,0.1,0.0029220574535429476,5.326212874828736e-10
0.08,0.15,0.0094456915743649,2.3379415774443107e-08
0.1,0.05,0.0018272807472385466,4.0175339324175245e-10
0.1,0.08,0.002210794808343053,5.648683370730321e-10
0.1,0.1,0.0027376949321478604,1.1241368741779918e-09
0.1,0.15,0.00607532486319542,6.2643482864446266e-09
0.15,0.05,0.0022402508417144417,2.465034150167487e-10
0.15,0.08,0.0024994832347147167,4.219150258921145e-10
0.15,0.1,0.002839054970536381,5.116759672365944e-10
0.15,0.15,0.004314349358901381,2.0695691926724566e-09
variable,0.05,0.0017355479183606803,5.176491579705882e-10
variable,0.08,0.002292684081476182,5.063084010809501e-10
variable,0.1,0.002949062129482627,5.804663318019883e-10
variable,0.15,0.00592206867877394,3.179805757115887e-09
